ai_academic_entity,country,link
"Software and Knowledge Engineering Lab, National Centre for Scientific Research “Demokritos”, Athens",Greece,https://www.iit.demokritos.gr/institute/overview/
Center for Chaos and Complex Networks,Hong Kong,https://www.ee.cityu.edu.hk/~cccn/
Multimedia Laboratory,Hong Kong,http://mmlab.ie.cuhk.edu.hk/projects.html
Department of Computing,Hong Kong,https://www.comp.polyu.edu.hk/
"Department of Computer Algorithms and Artificial Intelligence, University of Szeged",Hungary,https://www.inf.u-szeged.hu/en/algmi
"Department of Network and Data Science, Central European University, Budapest",Hungary,http://networkdatascience.ceu.edu/
"Faculty of Informatics, Eötvös Loránd University, Budapest",Hungary,https://www.inf.elte.hu/en/
ELTE Department of Artificial Intelligence,Hungary,http://nipg.inf.elte.hu/
ELTE Autonomous Systems Group,Hungary,https://www.inf.elte.hu/en/content/computer-science-for-autonomous-systems.t.1404?m=252
"Human Language Technology, Computer Science Research Institute (SZTAKI) of the Hungarian Academy of Sciences (MTA)",Hungary,https://hlt.bme.hu/en/group
"MEDIANETS Lab, Department of Networked Systems and Services, Budapest University of Technology and Economics, Budapest",Hungary,http://medianets.hu/home/
"MTA-SZTE Research Group on Artificial Intelligence, Hungarian Academy of Sciences, University of Szeged",Hungary,https://rgai.sed.hu/
"Speech Communication and Smart Interactions Laboratory, Budapest University of Technology and Economics",Hungary,http://smartlab.tmit.bme.hu/index-en
"Applied Intelligence Research Centre, Technological University of Dublin",Ireland,http://ditairc.ie/who-we-are/
"Hamilton Institute, Maynooth University",Ireland,https://www.maynoothuniversity.ie/hamilton
"Irish Centre for High-End Computing, National University of Ireland Galway",Ireland,https://www.ichec.ie/
"Machine Learning & Data Mining Research Group, National University of Ireland",Ireland,http://datamining.it.nuigalway.ie/
"Regulated Software Research Centre, Dundalk Institute of Technology and Lero",Ireland,https://www.dkit.ie/regulated-software-research-centre
"School of Computer Science & IT, University College Cork",Ireland,https://www.ucc.ie/en/compsci/research/
Confirm Centre for Smart Manufacturing,Ireland,https://confirm.ie/
